line_follow_transfer: camera=320x240, timestep=32ms, log=D:\用户\Lenovo\桌面\Robocup\generated\manual_webots_logs_live\autorun\baseline_20260419_232202.log
th=97 steer=-13.16 ex=3.713cm ang=11.12deg z=58.92cm tg=0.718 mode=1 conf=0.128 lost=0 L=2.842 R=2.358 expx=12.13 bmask=0 red=0.00 blk=0.00 bp=0.25 sym=-35.5 lock=0 cq=0.00
th=92 steer=-11.41 ex=4.606cm ang=12.79deg z=58.92cm tg=0.023 mode=0 conf=0.128 lost=0 L=2.810 R=2.390 expx=23.47 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=97 steer=-8.85 ex=3.450cm ang=13.98deg z=58.92cm tg=0.016 mode=0 conf=0.128 lost=0 L=3.103 R=2.777 expx=17.58 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=96 steer=-6.72 ex=2.411cm ang=15.80deg z=58.92cm tg=0.014 mode=0 conf=0.128 lost=0 L=3.530 R=3.282 expx=12.28 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=98 steer=-4.76 ex=1.476cm ang=17.66deg z=58.92cm tg=0.013 mode=0 conf=0.128 lost=0 L=3.973 R=3.798 expx=7.52 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=99 steer=-2.94 ex=0.602cm ang=19.61deg z=58.92cm tg=0.016 mode=0 conf=0.128 lost=0 L=4.433 R=4.325 expx=3.07 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=91 steer=-1.14 ex=-0.245cm ang=21.31deg z=58.92cm tg=0.012 mode=0 conf=0.128 lost=0 L=4.912 R=4.870 expx=-1.25 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=98 steer=0.76 ex=-1.090cm ang=21.75deg z=58.92cm tg=0.010 mode=0 conf=0.128 lost=0 L=5.304 R=5.332 expx=-5.56 bmask=0 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=93 steer=1.41 ex=-2.496cm ang=33.30deg z=33.50cm tg=0.875 mode=0 conf=0.128 lost=0 L=5.393 R=5.445 expx=-13.25 bmask=3 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=90 steer=3.11 ex=-3.320cm ang=34.71deg z=33.50cm tg=0.762 mode=0 conf=0.128 lost=0 L=5.232 R=5.347 expx=-17.50 bmask=3 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=94 steer=4.81 ex=-3.984cm ang=35.01deg z=33.50cm tg=0.688 mode=0 conf=0.128 lost=0 L=5.072 R=5.249 expx=-21.00 bmask=3 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
th=99 steer=6.23 ex=-4.554cm ang=35.69deg z=33.50cm tg=0.625 mode=0 conf=0.128 lost=0 L=4.937 R=5.166 expx=-24.00 bmask=3 red=0.00 blk=0.00 bp=0.00 sym=0.0 lock=0 cq=0.00
