WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=19.3 ex=-17.47cm ang=5.9deg z=135.3cm tg=0.00 mode=0 conf=0.79 lost=0 L=4.17 R=4.88 expx=-38.8
th=120 steer=12.9 ex=-14.93cm ang=4.4deg z=135.3cm tg=0.00 mode=0 conf=0.78 lost=0 L=4.87 R=5.35 expx=-33.1
th=120 steer=10.2 ex=-12.09cm ang=5.8deg z=135.3cm tg=0.00 mode=0 conf=0.78 lost=0 L=5.17 R=5.55 expx=-26.8
th=120 steer=8.3 ex=-9.98cm ang=7.1deg z=135.3cm tg=0.00 mode=0 conf=0.77 lost=0 L=5.38 R=5.68 expx=-22.2
th=120 steer=6.9 ex=-8.68cm ang=8.7deg z=135.3cm tg=0.00 mode=0 conf=0.78 lost=0 L=5.52 R=5.78 expx=-19.2
th=120 steer=5.9 ex=-7.91cm ang=10.6deg z=135.3cm tg=0.00 mode=0 conf=0.78 lost=0 L=5.63 R=5.85 expx=-17.2
th=120 steer=5.4 ex=-7.45cm ang=13.3deg z=133.8cm tg=0.00 mode=0 conf=0.74 lost=0 L=5.69 R=5.89 expx=-16.8
th=120 steer=5.3 ex=-7.38cm ang=15.1deg z=132.3cm tg=0.00 mode=0 conf=0.71 lost=0 L=5.70 R=5.90 expx=-16.8
th=120 steer=5.1 ex=-7.38cm ang=16.7deg z=132.3cm tg=0.00 mode=0 conf=0.72 lost=0 L=5.73 R=5.91 expx=-16.8
th=120 steer=5.5 ex=-7.95cm ang=19.2deg z=130.8cm tg=0.00 mode=0 conf=0.69 lost=0 L=5.68 R=5.88 expx=-18.2
th=120 steer=5.7 ex=-8.34cm ang=21.5deg z=129.3cm tg=0.00 mode=0 conf=0.65 lost=0 L=5.66 R=5.87 expx=-19.4
th=120 steer=6.2 ex=-8.85cm ang=23.3deg z=126.5cm tg=0.00 mode=0 conf=0.56 lost=0 L=5.61 R=5.83 expx=-21.0
th=120 steer=6.7 ex=-9.48cm ang=25.4deg z=125.1cm tg=0.00 mode=0 conf=0.51 lost=0 L=5.55 R=5.80 expx=-22.8
th=120 steer=7.1 ex=-9.95cm ang=26.8deg z=123.8cm tg=0.00 mode=0 conf=0.46 lost=0 L=5.51 R=5.77 expx=-24.1
th=120 steer=7.8 ex=-10.49cm ang=27.5deg z=121.2cm tg=0.00 mode=0 conf=0.35 lost=0 L=5.43 R=5.72 expx=-26.0
th=120 steer=8.9 ex=-11.11cm ang=27.1deg z=118.6cm tg=0.00 mode=0 conf=0.24 lost=0 L=5.31 R=5.64 expx=-28.1
th=120 steer=8.4 ex=-11.54cm ang=34.5deg z=117.4cm tg=0.00 mode=0 conf=0.18 lost=0 L=5.37 R=5.67 expx=-29.5
th=120 steer=7.1 ex=-11.54cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=6 L=4.66 R=4.92 expx=-29.5
th=120 steer=11.0 ex=-11.54cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=14 L=4.29 R=4.69 expx=-29.5
th=120 steer=11.0 ex=-11.54cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=22 L=4.29 R=4.69 expx=-29.5
th=120 steer=11.0 ex=-11.54cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=30 L=4.29 R=4.69 expx=-29.5
th=120 steer=11.0 ex=-11.54cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=38 L=4.29 R=4.69 expx=-29.5
th=120 steer=3.7 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.98 R=5.12 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=17 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=25 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=33 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=41 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=49 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=57 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=65 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=73 L=4.29 R=4.69 expx=-20.8
th=120 steer=11.0 ex=-8.12cm ang=34.5deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=81 L=4.29 R=4.69 expx=-20.8
