WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=0.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=1 L=5.10 R=5.10 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=17 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=25 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=33 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=41 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=49 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=57 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=65 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=73 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=81 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=89 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=97 L=4.09 R=4.49 expx=0.0
th=120 steer=11.0 ex=0.00cm ang=0.0deg z=0.0cm tg=1.00 mode=1 conf=0.00 lost=105 L=4.09 R=4.49 expx=0.0
